mwe_template	semantic_tags
'A'_* Level*_NOUN	P1
'A'_* level*_NOUN	P1
'O'_* Level*_NOUN	P1
'O'_* level*_NOUN	P1
'_PUNCT A_* '_PUNCT level*_NOUN	P1
'_PUNCT O_* '_PUNCT level*_NOUN	P1
'd_AUX sooner_ADV	E2++
*%_NOUN off_*	I1.3-
*-level_NOUN standard_NOUN	A5.1
*_* Ocean_NOUN	Z2
*_* alliance_NOUN	S5+
*_* minded_*	Df/E2+
*_* orientated_*	Df
*_* oriented_*	Df
*_* revolution_NOUN	G1.2 A2.1+
*_* shortage*_*	Df/N5-
*_* {PRON/Np} to_ADP hell_NOUN	Df/N5+
*_ADJ *_ADJ border_NOUN	Z2
*_ADJ *_PROPN	T1.3
*_ADJ *_PROPN *_NUM	T1.2
*_ADJ Army_NOUN	Z3c
*_ADJ Avenue_*	Z2
*_ADJ Central_* Committee*_NOUN	G1.1/S7.1+
*_ADJ Congress_NOUN	G1.1
*_ADJ Corps_NOUN	Z3c
*_ADJ Embassy_NOUN	Z3c
*_ADJ Frigate_NOUN Squadron_NOUN	Z3c
*_ADJ General_ADJ Hospital_NOUN	Z3c
*_ADJ High_ADJ Commission*_NOUN	Z3c
*_ADJ MB_NOUN	P1/B3
*_ADJ Ocean_NOUN	Z2
*_ADJ Para_NOUN	Z3c
*_ADJ Street_NOUN	Z2
*_ADJ World_NOUN War_NOUN	Z3
*_ADJ belt*_NOUN	K5.1/S2mf
*_ADJ call_NOUN audition*_NOUN	K4
*_ADJ century_NOUN	T1.3
*_ADJ class_NOUN accent*_NOUN	Q3/S5+
*_ADJ class_NOUN families_NOUN	S4/S5+
*_ADJ class_NOUN family_NOUN	S4/S5+c
*_ADJ class_NOUN honours_NOUN degree*_NOUN	P1
*_ADJ cousin*_NOUN	S4mf
*_ADJ division_NOUN	K5.1/S5+c A5.1-
*_ADJ floor_NOUN	H2
*_ADJ form*_NOUN	P1c
*_ADJ form_NOUN student*_NOUN	P1/S2mf
*_ADJ gear_NOUN	M3
*_ADJ looking_*	Df/A8
*_ADJ natured_*	S1.2/Df
*_ADJ of_ADP *_PROPN	T1.2
*_ADJ of_ADP *_PROPN *_NUM	T1.2
*_ADJ possible_*	Df+++
*_ADJ possible_ADJ	Df+++
*_ADJ reading_NOUN	G1.1
*_ADJ speaker*_NOUN	Q3/S2mf
*_ADJ style_NOUN	Df
*_ADJ wedding_NOUN anniversar*_NOUN	T1.2/S4
*_ADJ wedding_NOUN anniversary_NOUN	S4/T1.2
*_ADJ year_NOUN	T1.3 P1/S2mf
*_ADJ year_NOUN dissertation*_NOUN	P1
*_ADJ year_NOUN exam*_NOUN	P1
*_ADJ years_NOUN	P1/S2mf
*_ADP all_* appearances_NOUN	A8/A5.2+
