mwe_template	semantic_tags
24_num horas_noun por_prep dia_noun	T2+++
Independência_pnoun Americana_adj	S5-
República_pnoun de_prep o_det Tchad_pnoun	Z2 Z1m
a_det bordo_noun	M6 Z5
a_det bordo_noun de_prep	M6 Z5
a_det caminho_noun	A1.1.1
a_det contragosto_noun	X7- X5.2-
a_det curto_adj prazo_noun	T1.3-
a_det esmo_noun	A1.4
a_det fim_noun de_prep que_pron	Z5
a_det gente_noun	Z8
a_det granel_noun	N5++
a_det maior_adj distância_noun	N3.3+
a_det maioria_noun	A13.2 N5+++
a_det meio_adj caminho_noun	M6 N5 T1.2
a_det menor_adj sombra_noun de_prep	O4.1 A4.2--- N5---
a_det menos_adv	Z5
a_det mesma_pron coisa_noun	A6.1+
a_det ponto_noun de_prep	A13.4 Z5 M6
a_det propósito_noun	Z4
a_det prova_noun	X8+ K5.1 X2.4 Q2.2 G2.1 A12-
a_det quem_pron	Z8
a_det rigor_noun	S1.2.1- G1.1 A6.2+ O4.2
a_det tempo_noun	N3.8 T4
a_det tentativa_noun	X8+ K5.1 X2.4 Q2.2 G2.1 A12-
a_det vida_noun toda_det	T1.3
a_det volta_noun	M1
a_det vossa_det	Z8
a_prep elas_pron	Z8mfn
a_prep eles_pron	Z8mfn
a_prep la_pron carte_verb	F1
a_prep menos_adv que_conj	A1.8- Z5
a_prep mim_pron	Z8mf
a_prep mim_pron mesmo_adv	Z8mf
a_prep não_adv ser_verb	Z5
a_prep nós_pron	Z8
a_prep o_det acaso_noun	A1.4
a_prep o_det alcance_noun de_prep a_det vista_noun	A11.2+
a_prep o_det ano_noun	N6
a_prep o_det ar_noun livre_adj	M6
a_prep o_det contrário_noun	A6.1-
a_prep o_det lado_noun	M6 S5+ Z5
a_prep o_det lado_noun de_prep	M6 S5+ Z5
a_prep o_det largo_noun	M6 K1 A1.1.1 A1.9 Z5 E2-
a_prep o_det longo_noun	M6 Z5
a_prep o_det longo_noun de_prep	M6 S5+ Z5
a_prep o_det mar_noun	N5.2+ M6
a_prep o_det menos_adv	A13.7 Z4 N5.1+ T1.1.2
a_prep o_det pé_noun	N3.3-
a_prep o_det revés_noun	A6.1- Q2.1
a_prep pagar_verb	I1.1- I1.2
a_prep qualquer_det tempo_noun	Z5
a_prep saber_verb	Z5
a_prep si_pron mesmo_adv	Z8
abaixo_adv de_prep	M6 Z5
abertura_noun de_prep crédito_noun especial_adj	I1.2
abridor_noun de_prep garrafas_noun	O2
abridor_noun de_prep latas_noun	O2
absorvente_adj higiênico_adj	M1 O2 Q1.2 H1
acima_adv de_prep	M6 N4 N5++ T2- X9.1+ A1.1.1 N5+/A2.1 Z5
acima_adv de_prep tudo_pron	A13.2
acionador_adj de_prep partida_noun	O2 T2+ O3
acordo_noun secreto_adj	S5+
acredite_verb se_pron quiser_verb	Z4
acrobacia_noun aérea_adj	M1 M2 O4.4 O2
acúmulo_noun de_prep juros_noun	A9+ N5+
adepto_noun de_prep jogos_noun eletrônicos_adj	Y2/K5.2/S2mf
advogado_noun de_prep defesa_noun	S8+/S2mf G2.1/S2mf G3/S2mf O2
afirmação_noun arbitrária_adj	S7.4+
agente_noun de_prep apostas_noun	K5.1/S2mf
agente_noun de_prep polícia_noun	G2.1/S2mf
agente_noun de_prep turismo_noun	M2/S2mf
agente_noun funerário_adj	L1-/S2mf
agitação_noun popular_adj	L2/M1 M1
agradeci_verb mento_noun	S1.2.4+ E4.2+
agência_noun corretora_noun	I2.2
agência_noun de_prep empregos_noun	I3.1/I2.1c
ainda_adv que_conj	A2.1- Z5
ainde_verb que_conj	Z7
alarme_noun contra_prep incêndio_noun	O3/A15+
algum_det dia_noun	T1.1.3
alguma_det coisa_noun	Z8
algumas_det vezes_noun	N6
alta_adj sociedade_noun	S5+c
alto_adj volume_noun	N3.5+ N5+ N3.2+ A1.1.2@ 
alto_adv astral_adj	E4.1+ K2
altos_adj e_conj baixos_adj	A5.1 A1.4 X9.2
além_adv de_prep	M6 N4 Z5 T1.1.1 N5++
além_adv de_prep isso_pron	N5++ Z5
além_adv de_prep o_det mais_adv	N5++ N3.3++ T2++ N5+/A2.1
alêm_verb de_prep isso_pron	Z5
ameixa_noun seca_adj	F4 F1 A2.1 L3
amostrador_adj de_prep sons_noun	B5 K3
andar_noun de_prep cima_noun	H2
andar_noun superior_adj	H2
andar_noun térreo_adj	H2
anel_noun viário_adj	M1/M3 A1.9 M3 B3
animais_noun domésticos_adj	F4
animal_adj de_prep estimação_noun	E2+ L2mfn S3.2
animal_adj selvagem_adj	G2.2-/S2mf S5-
ano_noun contábil_adj	T1.3/I1
ansioso_adj por_prep	X7+
antes_adv de_prep	N4 Z5
antes_adv de_prep a_det hora_noun	T4++
antes_adv de_prep mais_adv nada_pron	A13.2 N4
antes_adv de_prep tudo_pron	A11.1+++
análise_noun crítica_adj	X2.4 Q4 X2.4/A5 P1 
aparador_noun de_prep lareira_noun	H5
aparelho_noun de_prep som_noun	K3
apartamento_noun com_prep varanda_noun	H2
apartamento_noun conjugado_verb	C1/H2 Q4.3/H1c H1
apartamento_noun de_prep cobertura_noun	H1
aperto_noun de_prep mão_noun	S1.1.1
apesar_conj de_prep	A2.1- C1 F2/O2 E3+/A2.1 E6+ M8 E3+ O4.5 T2++ Z4 Z5
apesar_conj de_prep tudo_pron	A11.1- E6+ Z4
aplicação_noun noturna_adj de_prep recursos_noun	T1.3 N3.8+
apreensão_noun imediata_adj	A11.1+ T1.1.2
apresentação_noun de_prep relatório_noun	Q2.2 S7.1-
apropriação_noun indébita_adj	A9+/G2.1-
apólice_noun de_prep seguro_noun	Q1.2/I2.1
aquecimento_noun central_adj	O4.6+/H2
